Date,Open,High,Low,Close,Adj Close,Volume,Average,Relative to mean,% increase,Column1,Historical,,
10/14/2015,139.75,140.889999,133.580002,134.220001,118.716293,8752300,137.2350005,0.5572422475,0.3654452995,,,,
10/15/2015,135.160004,137.669998,135,137.389999,121.520111,6368300,136.334999,0.5535877945,-0.5238044623,,,,
10/16/2015,137.429993,138.729996,136.520004,137.600006,121.705887,3173700,137.625,0.5588258391,0.050756207,,,,
10/19/2015,137.600006,138.610001,136.389999,138.419998,122.431129,4022000,137.5,0.558318277,-0.5095913032,,,,
10/20/2015,137.940002,139.929993,137.580002,138.880005,122.838028,4202600,138.7549975,0.56341419,-0.253781035,,,,
10/21/2015,141.699997,142.149994,136.610001,141.190002,124.881180,8927200,139.3799975,0.5659520004,-2.137851236,,,,
10/22/2015,142,147.360001,141.929993,146.309998,129.409775,6976300,144.644997,0.5873305128,-0.6841957006,,,,
10/23/2015,147.369995,147.75,144.910004,146.699997,129.754730,4691200,146.330002,0.5941724698,-0.02436196424,,,,
10/26/2015,146.210007,147.229996,145.550003,146.699997,129.754730,3143400,146.3899995,0.5944160894,-0.4507153212,,,,
10/27/2015,146.220001,148.990005,146.009995,148.460007,131.311432,3411300,147.5,0.5989232426,0.2131766785,,,,
10/28/2015,147.990005,148.809998,145.139999,147.880005,130.798431,4408300,146.9749985,0.5967914758,0.050756207,,,,
10/29/2015,147.539993,147.869995,145.830002,147.179993,130.179276,3072100,146.8499985,0.5962839138,-0.6070452509,,,,
10/30/2015,147.399994,149.600006,147.089996,148.070007,130.966507,3938000,148.345001,0.6023543663,-0.06902783245,,,,
11/2/2015,148.380005,149.470001,147.559998,148.399994,131.258377,2516700,148.5149995,0.6030446446,0.2903240829,,,,
11/3/2015,148.029999,148.460007,147.139999,148.089996,130.984161,2470000,147.800003,0.6001414038,-0.06902478707,,,,
11/4/2015,147.259995,148.759995,147.179993,148.190002,131.883011,2771500,147.969994,0.6008316516,0.1238425058,,,,
11/5/2015,148.190002,148.839996,146.490005,147.970001,131.687271,2545400,147.6650005,0.5995932266,0.2334801764,,,,
11/6/2015,146.580002,148.169998,146.009995,147.940002,131.660553,2294100,147.0899965,0.5972584248,0.3085985507,,,,
11/9/2015,146.899994,147.479996,145.179993,145.979996,129.916214,2980800,146.3299945,0.5941724393,0.5055299945,,,,
11/10/2015,145.279999,146.139999,144.029999,145.149994,129.177551,2524100,145.084999,0.5891171394,-0.03654609324,,,,
11/11/2015,145.199997,145.830002,144.520004,144.990005,129.035141,1579600,145.175003,0.5894826003,0.8851914985,,,,
11/12/2015,143,144.399994,141.589996,142.539993,126.854782,3796800,142.994995,0.5806306853,0.04872392847,,,,
11/13/2015,142.330002,143.889999,141.860001,142.589996,126.899254,3063800,142.875,0.580143446,-0.2192672203,,,,
11/16/2015,142.580002,144.5,142.330002,144.419998,128.527878,2378300,143.415001,0.5823361182,-0.893307822,,,,
11/17/2015,145.289993,146.589996,144.639999,146.080002,130.005234,3038300,145.6149975,0.5912691964,-0.6882541669,,,,
11/18/2015,146.240005,148.389999,146.229996,148.279999,131.963120,3101100,147.3099975,0.5981517381,-0.6334366513,,,,
11/19/2015,148.789993,149.479996,148.259995,149.240005,132.817520,2492600,148.8699955,0.6044861046,-0.3999589112,,,,
11/20/2015,149.839996,150.589996,149.119995,149.399994,132.959869,3210200,149.8549955,0.6084856937,0.4669544651,,,,
11/23/2015,149.389999,149.699997,147.710007,148.339996,132.016525,3183700,148.705002,0.6038161491,0.121816318,,,,
11/24/2015,147.490005,149.589996,147.220001,148.649994,132.292389,2626600,148.4049985,0.6025979859,0.05684654579,,,,
11/25/2015,149.039993,149.149994,147.380005,147.429993,131.206650,1852200,148.2649995,0.6020295205,0.3816876918,,,,
11/27/2015,147.5,147.970001,146.679993,146.949997,130.779480,1282100,147.324997,0.5982126435,0.4121399948,,,,
11/30/2015,146.970001,147.259995,145.360001,145.449997,129.444550,3176700,146.309998,0.5940912436,-0.659830488,,,,
12/1/2015,146.539993,149.399994,146.470001,147.740005,131.482529,3444300,147.9349975,0.6006895485,0.2964144217,,,,
12/2/2015,147.550003,148.029999,146.380005,146.960007,130.788361,2648800,147.205002,0.5977254042,0.50756207,,,,
